idnumber	Canonical_Smiles	Group
Z57036360	CCOC(=O)c1oc2ccccc2c1N\C=C/3\C(=O)N(C(=O)c4ccccc34)c5ccc(C)c(C)c5	L1
Z87871988	CC(=O)NCCCc1ccc(cc1)C(=O)COC(=O)c2cccnc2Sc3cc(C)ccc3C	L1
Z31283415	Cc1ccc2nc(N\C=C/3\C(=O)N(C(=O)c4ccccc34)c5ccc(C)c(C)c5)sc2c1	L1
Z66207513	Cc1cc(c(C)n1C)c2csc(NC(=O)c3ccc4C(=O)OC(Cc4c3)c5ccccc5)n2	L1
Z79737287	NC(=O)c1c2CCCCc2sc1NC(=O)c3ccc4C(=O)OC(Cc4c3)c5ccccc5	L1
Z19041987	CCOC(=O)C1=C(COC(=O)c2cc(nc3ccccc23)c4ccc(Br)cc4)NC(=O)NC1c5cccs5	L1
Z56940552	CCCCOC(=O)c1c(C)oc2c3ccccc3c(NS(=O)(=O)c4ccc(C)c(c4)[N+](=O)[O-])cc12	L1
Z85921405	CCOC(=O)c1sc(NC(=O)[C@H](Cc2ccccc2)N3C(=O)c4ccccc4C3=O)c(C#N)c1C	L1
Z2968933475	CC1(C)CC(=C\C(=C\c2sc3ccccc3[n+]2CCCS(=O)(=O)O)\C1)\C=C\4/Sc5ccccc5N4CCCS(=O)(=O)O	L1
Z31280230	CCOC(=O)c1ccc(cc1)N2C(=O)\C(=C/Nc3ccccc3C(=O)Nc4ccc(C)cc4)\c5ccccc5C2=O	L1
Z17554037	CNc1ccc(cc1[N+](=O)[O-])C(=O)c2ccccc2C(=O)OCc3csc(n3)c4ccc(F)cc4	L1
Z2938150512	CCOC(=O)c1cc(CN([C@@H]2CCCC[C@H]2NC(=O)OC(C)(C)C)C(=O)OCC3c4ccccc4c5ccccc35)on1	L1
Z15423345	Cc1ccc(C)c(c1)N2C(=O)c3ccc(cc3C2=O)C(=O)OCC(=O)Nc4ccc(Cl)cc4Cl	L1
Z96091931	CCCCCOC(=O)c1c(C)oc2cc(C)c(NS(=O)(=O)c3c(C)cc(C)cc3C)cc12	L1
Z2863095524	CC(C)(C)OC(=O)N[C@@H]1CC[C@@H](CC1)N(CC2(CC2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
Z2858959114	CC(C)(C)OC(=O)NC1CCC(CC1)N(CC2(CC2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
Z56891881	CC(C)(C)C1CCC2Oc3c(cc(NS(=O)(=O)c4cccc(c4)[N+](=O)[O-])c5ccccc35)C2C1	L1
Z15425663	Cc1nc2cc(ccc2n1c3ccccc3)C(=O)OCC(=O)Nc4sc5CCCc5c4C(=O)N	L1
Z18865351	Cc1nn(c2ccc(F)cc2)c3sc(cc13)C(=O)OCC(=O)Nc4sc5CCCc5c4C(=O)N	L1
Z3590119584	CC(C)n1ncc2c(cc(nc12)c3ccccc3C)C(=O)Nc4occ(n4)c5ccccc5F	L1
Z29586275	Cc1ccc(C)c(c1)c2csc(NC(=O)c3ccc4C(=O)c5ccccc5S(=O)(=O)c4c3)n2	L1
Z3668120507	CC(C)(C)OC(=O)N1CCC(CC=C)(C1)C(=O)NC2(CNC(=O)c3cc(ccc3Cl)S(=O)(=O)N(CC=C)c4cccc(c4)C(F)(F)F)CC2	L1
Z16503491	CCOC(=O)c1c(C)[nH]c(C(=O)OCC(=O)c2cc(C)n(c2C)c3cc(C)cc(C)c3)c1C	L1
Z131081730	CC(=O)N(c1cccc(C)c1C)c2nc(\C=C(/CC(=O)O)\c3nc4ccccc4s3)cs2	L1
Z99248478	Cc1ccc(Cn2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)C)c(n2)c4ccc(C)cc4)cc1	L1
Z64531667	Cc1ccc(cc1)c2cc(NC(=O)c3ccc(CS(=O)(=O)C)cc3)nc(c2)c4ccccc4	L1
Z16805604	CCOCCCN1C(=Nc2scc(c3ccccc3Cl)c2C1=O)SCC(=O)Nc4c(C)cccc4C	L1
Z25131140	CC(C)c1cc(C(C)C)c(O)c(c1)C(=O)OCC(=O)N2N=C(CC2c3occc3)c4ccc(C)cc4	L1
Z45815622	CCN(C(=S)Nc1cc(ccc1Cl)S(=O)(=O)N2CCOCC2)c3cccc4ccccc34	L1
Z24571950	COC(=O)c1sc2N=C(CSc3nnc(COc4ccc(Cl)cc4)n3Cc5occc5)NC(=O)c2c1C	L1
